fecha,precio_cierre,retorno_diario,media_movil_10,tendencia
2023-03-31,91.3,0.00851,92.08,alza
2023-04-03,92.58,0.01402,92.05,alza
2023-04-04,92.55,-0.00032,92.1,baja
2023-04-05,93.51,0.01037,92.27,alza
2023-04-06,93.89,0.00406,92.44,alza
2023-04-07,93.32,-0.00607,92.46,baja
2023-04-10,93.7,0.00407,92.56,alza
2023-04-11,95.17,0.01569,92.81,alza
2023-04-12,95.18,0.00011,93.17,alza
2023-04-13,96.71,0.01607,93.79,alza
2023-04-14,94.21,-0.02585,94.08,baja
2023-04-17,95.02,0.0086,94.33,alza
2023-04-18,95.14,0.00126,94.58,alza
2023-04-19,94.9,-0.00252,94.72,baja
2023-04-20,95.02,0.00126,94.84,alza
2023-04-21,93.17,-0.01947,94.82,baja
2023-04-24,93.0,-0.00182,94.75,baja
2023-04-25,93.37,0.00398,94.57,alza
2023-04-26,94.79,0.01521,94.53,alza
2023-04-27,94.34,-0.00475,94.3,baja
2023-04-28,93.61,-0.00774,94.24,baja
2023-05-01,93.18,-0.00459,94.05,baja
2023-05-02,94.07,0.00955,93.94,alza
2023-05-03,94.42,0.00372,93.9,alza
2023-05-04,93.95,-0.00498,93.79,baja
2023-05-05,94.47,0.00553,93.92,alza
2023-05-08,94.6,0.00138,94.08,alza
2023-05-09,95.56,0.01015,94.3,alza
2023-05-10,94.93,-0.00659,94.31,baja
2023-05-11,94.65,-0.00295,94.34,baja
2023-05-12,94.32,-0.00349,94.42,baja
2023-05-15,92.98,-0.01421,94.4,baja
2023-05-16,93.29,0.00333,94.32,alza
2023-05-17,93.57,0.003,94.23,alza
2023-05-18,93.61,0.00043,94.2,alza
2023-05-19,93.43,-0.00192,94.09,baja
2023-05-22,92.14,-0.01381,93.85,baja
2023-05-23,91.79,-0.0038,93.47,baja
2023-05-24,91.52,-0.00294,93.13,baja
2023-05-25,90.82,-0.00765,92.75,baja
2023-05-26,90.71,-0.00121,92.39,baja
2023-05-29,91.11,0.00441,92.2,alza
2023-05-30,92.87,0.01932,92.16,alza
2023-05-31,93.07,0.00215,92.11,alza
2023-06-01,93.34,0.0029,92.08,alza
2023-06-02,93.31,-0.00032,92.07,baja
2023-06-05,91.56,-0.01875,92.01,baja
2023-06-06,91.57,0.00011,91.99,alza
2023-06-07,91.66,0.00098,92.0,alza
2023-06-08,93.96,0.02509,92.32,alza
2023-06-09,93.81,-0.0016,92.63,baja
2023-06-12,94.13,0.00341,92.93,alza
2023-06-13,94.14,0.00011,93.06,alza
2023-06-14,93.08,-0.01126,93.06,baja
2023-06-15,94.18,0.01182,93.14,alza
2023-06-16,94.92,0.00786,93.3,alza
2023-06-19,95.71,0.00832,93.72,alza
2023-06-20,94.88,-0.00867,94.05,baja
2023-06-21,96.25,0.01444,94.51,alza
2023-06-22,94.94,-0.01361,94.6,baja
2023-06-23,95.53,0.00621,94.78,alza
2023-06-26,97.66,0.0223,95.13,alza
2023-06-27,96.73,-0.00952,95.39,baja
2023-06-28,96.23,-0.00517,95.7,baja
2023-06-29,96.36,0.00135,95.92,alza
2023-06-30,95.91,-0.00467,96.02,baja
2023-07-03,94.46,-0.01512,95.9,baja
2023-07-04,94.57,0.00116,95.86,alza
2023-07-05,93.6,-0.01026,95.6,baja
2023-07-06,94.08,0.00513,95.51,alza
2023-07-07,93.25,-0.00882,95.28,baja
2023-07-10,94.74,0.01598,94.99,alza
2023-07-11,94.03,-0.00749,94.72,baja
2023-07-12,93.77,-0.00277,94.48,baja
2023-07-13,94.57,0.00853,94.3,alza
2023-07-14,93.44,-0.01195,94.05,baja
2023-07-17,93.69,0.00268,93.97,alza
2023-07-18,94.95,0.01345,94.01,alza
2023-07-19,93.46,-0.01569,94.0,baja
2023-07-20,93.67,0.00225,93.96,alza
2023-07-21,93.96,0.0031,94.03,alza
2023-07-24,94.73,0.00819,94.03,alza
2023-07-25,93.59,-0.01203,93.98,baja
2023-07-26,92.4,-0.01272,93.85,baja
2023-07-27,92.91,0.00552,93.68,alza
2023-07-28,93.23,0.00344,93.66,alza
2023-07-31,93.5,0.0029,93.64,alza
2023-08-01,93.86,0.00385,93.53,alza
2023-08-02,93.26,-0.00639,93.51,baja
2023-08-03,93.51,0.00268,93.5,alza
2023-08-04,93.82,0.00332,93.48,alza
2023-08-07,93.19,-0.00671,93.33,baja
2023-08-08,94.97,0.0191,93.46,alza
2023-08-09,95.46,0.00516,93.77,alza
2023-08-10,94.36,-0.01152,93.92,baja
2023-08-11,95.01,0.00689,94.09,alza
2023-08-14,94.13,-0.00926,94.16,baja
2023-08-15,94.9,0.00818,94.26,alza
2023-08-16,96.04,0.01201,94.54,alza
2023-08-17,95.29,-0.00781,94.72,baja
2023-08-18,96.25,0.01007,94.96,alza
2023-08-21,96.68,0.00447,95.31,alza
2023-08-22,97.52,0.00869,95.56,alza
2023-08-23,99.41,0.01938,95.96,alza
2023-08-24,99.2,-0.00211,96.44,baja
2023-08-25,98.49,-0.00716,96.79,baja
2023-08-28,97.66,-0.00843,97.14,baja
2023-08-29,96.9,-0.00778,97.34,baja
2023-08-30,96.86,-0.00041,97.43,baja
2023-08-31,97.23,0.00382,97.62,alza
2023-09-01,97.54,0.00319,97.75,alza
2023-09-04,98.39,0.00871,97.92,alza
2023-09-05,98.44,0.00051,98.01,alza
2023-09-06,99.91,0.01493,98.06,alza
2023-09-07,99.68,-0.0023,98.11,baja
2023-09-08,102.44,0.02769,98.5,alza
2023-09-11,103.12,0.00664,99.05,alza
2023-09-12,102.28,-0.00815,99.59,baja
2023-09-13,101.22,-0.01036,100.02,baja
2023-09-14,101.75,0.00524,100.48,alza
2023-09-15,101.56,-0.00187,100.88,baja
2023-09-18,102.33,0.00758,101.27,alza
2023-09-19,102.85,0.00508,101.71,alza
2023-09-20,102.82,-0.00029,102.01,baja
2023-09-21,101.99,-0.00807,102.24,baja
2023-09-22,100.49,-0.01471,102.04,baja
2023-09-25,100.08,-0.00408,101.74,baja
2023-09-26,100.98,0.00899,101.61,alza
2023-09-27,101.23,0.00248,101.61,alza
2023-09-28,100.01,-0.01205,101.43,baja
2023-09-29,100.22,0.0021,101.3,alza
2023-10-02,100.65,0.00429,101.13,alza
2023-10-03,99.8,-0.00845,100.83,baja
2023-10-04,99.99,0.0019,100.54,alza
2023-10-05,100.09,0.001,100.35,alza
2023-10-06,98.99,-0.01099,100.2,baja
2023-10-09,99.38,0.00394,100.13,alza
2023-10-10,99.98,0.00604,100.03,alza
2023-10-11,101.1,0.0112,100.02,alza
2023-10-12,102.21,0.01098,100.24,alza
2023-10-13,100.84,-0.0134,100.3,baja
2023-10-16,99.94,-0.00893,100.23,baja
2023-10-17,100.49,0.0055,100.3,alza
2023-10-18,101.05,0.00557,100.41,alza
2023-10-19,101.61,0.00554,100.56,alza
2023-10-20,105.56,0.03887,101.22,alza
2023-10-23,106.21,0.00616,101.9,alza
2023-10-24,107.46,0.01177,102.65,alza
2023-10-25,108.52,0.00986,103.39,alza
2023-10-26,109.28,0.007,104.1,alza
2023-10-27,108.97,-0.00284,104.91,baja
2023-10-30,109.85,0.00808,105.9,alza
2023-10-31,109.04,-0.00737,106.76,baja
2023-11-01,108.83,-0.00193,107.53,baja
2023-11-02,108.34,-0.0045,108.21,baja
2023-11-03,108.47,0.0012,108.5,alza
2023-11-06,111.03,0.0236,108.98,alza
2023-11-07,109.0,-0.01828,109.13,baja
2023-11-08,109.79,0.00725,109.26,alza
2023-11-09,108.06,-0.01576,109.14,baja
2023-11-10,107.6,-0.00426,109.0,baja
2023-11-13,108.81,0.01125,108.9,alza
2023-11-14,108.92,0.00101,108.89,alza
2023-11-15,107.79,-0.01037,108.78,baja
2023-11-16,107.07,-0.00668,108.65,baja
2023-11-17,107.84,0.00719,108.59,alza
2023-11-20,107.09,-0.00695,108.2,baja
2023-11-21,107.37,0.00261,108.03,alza
2023-11-22,107.46,0.00084,107.8,alza
2023-11-23,106.8,-0.00614,107.68,baja
2023-11-24,109.13,0.02182,107.83,alza
2023-11-27,109.87,0.00678,107.93,alza
2023-11-28,107.69,-0.01984,107.81,baja
2023-11-29,107.93,0.00223,107.82,alza
2023-11-30,107.26,-0.00621,107.84,baja
2023-12-01,108.22,0.00895,107.88,alza
2023-12-04,107.4,-0.00758,107.91,baja
2023-12-05,107.32,-0.00074,107.91,baja
2023-12-06,107.91,0.0055,107.95,alza
2023-12-07,108.89,0.00908,108.16,alza
2023-12-08,107.62,-0.01166,108.01,baja
2023-12-11,107.31,-0.00288,107.76,baja
2023-12-12,106.84,-0.00438,107.67,baja
2023-12-13,106.18,-0.00618,107.5,baja
2023-12-14,108.1,0.01808,107.58,alza
2023-12-15,108.58,0.00444,107.61,alza
2023-12-18,107.26,-0.01216,107.6,baja
2023-12-19,108.28,0.00951,107.7,alza
2023-12-20,110.62,0.02161,107.97,alza
2023-12-21,111.81,0.01076,108.26,alza
2023-12-22,110.16,-0.01476,108.51,baja
2023-12-25,109.67,-0.00445,108.75,baja
2023-12-26,111.1,0.01304,109.18,alza
2023-12-27,110.36,-0.00666,109.59,baja
2023-12-28,110.89,0.0048,109.87,alza
2023-12-29,111.8,0.00821,110.2,alza
2024-01-01,110.81,-0.00886,110.55,baja
2024-01-02,110.78,-0.00027,110.8,baja
2024-01-03,107.24,-0.03196,110.46,baja
2024-01-04,106.18,-0.00988,109.9,baja
2024-01-05,105.96,-0.00207,109.48,baja
2024-01-08,104.68,-0.01208,108.98,baja
2024-01-09,106.43,0.01672,108.51,alza
2024-01-10,104.95,-0.01391,107.97,baja
2024-01-11,104.53,-0.004,107.34,baja
2024-01-12,104.71,0.00172,106.63,alza
2024-01-15,106.26,0.0148,106.17,alza
2024-01-16,104.77,-0.01402,105.57,baja
2024-01-17,106.03,0.01203,105.45,alza
2024-01-18,106.09,0.00057,105.44,alza
2024-01-19,105.09,-0.00943,105.35,baja
2024-01-22,105.62,0.00504,105.45,alza
2024-01-23,105.87,0.00237,105.39,alza
2024-01-24,105.28,-0.00557,105.42,baja
2024-01-25,105.39,0.00104,105.51,alza
2024-01-26,105.03,-0.00342,105.54,baja
2024-01-29,105.19,0.00152,105.44,alza
2024-01-30,105.93,0.00703,105.55,alza
2024-01-31,107.65,0.01624,105.71,alza
2024-02-01,106.36,-0.01198,105.74,baja
2024-02-02,108.67,0.02172,106.1,alza
2024-02-05,106.59,-0.01914,106.2,baja
2024-02-06,106.47,-0.00113,106.26,baja
2024-02-07,107.14,0.00629,106.44,alza
2024-02-08,107.49,0.00327,106.65,alza
2024-02-09,106.86,-0.00586,106.84,baja
2024-02-12,106.68,-0.00168,106.98,baja
2024-02-13,106.2,-0.0045,107.01,baja
2024-02-14,105.61,-0.00556,106.81,baja
2024-02-15,106.55,0.0089,106.83,alza
2024-02-16,106.98,0.00404,106.66,alza
2024-02-19,106.28,-0.00654,106.63,baja
2024-02-20,107.28,0.00941,106.71,alza
2024-02-21,107.65,0.00345,106.76,alza
2024-02-22,108.57,0.00855,106.87,alza
2024-02-23,109.29,0.00663,107.11,alza
2024-02-26,108.43,-0.00787,107.28,baja
2024-02-27,107.87,-0.00516,107.45,baja
2024-02-28,108.72,0.00788,107.76,alza
2024-02-29,109.42,0.00644,108.05,alza
2024-03-01,109.45,0.00027,108.3,alza
2024-03-04,109.62,0.00155,108.63,alza
2024-03-05,111.06,0.01314,109.01,alza
2024-03-06,110.45,-0.00549,109.29,baja
2024-03-07,111.1,0.00589,109.54,alza
2024-03-08,110.92,-0.00162,109.7,baja
2024-03-11,110.72,-0.0018,109.93,baja
2024-03-12,111.98,0.01138,110.34,alza
2024-03-13,112.95,0.00866,110.77,alza
2024-03-14,113.91,0.0085,111.22,alza
2024-03-15,115.45,0.01352,111.82,alza
2024-03-18,115.52,0.00061,112.41,alza
2024-03-19,116.35,0.00718,112.93,alza
2024-03-20,116.04,-0.00266,113.49,baja
2024-03-21,116.46,0.00362,114.03,alza
2024-03-22,116.36,-0.00086,114.57,baja
2024-03-25,116.51,0.00129,115.15,alza
2024-03-26,117.25,0.00635,115.68,alza
2024-03-27,116.34,-0.00776,116.02,baja
2024-03-28,118.82,0.02132,116.51,alza
2024-03-29,117.68,-0.00959,116.73,baja
2024-04-01,116.29,-0.01181,116.81,baja
2024-04-02,117.69,0.01204,116.94,alza
2024-04-03,118.67,0.00833,117.21,alza
2024-04-04,119.45,0.00657,117.51,alza
2024-04-05,120.25,0.0067,117.9,alza
2024-04-08,120.29,0.00033,118.27,alza
2024-04-09,119.25,-0.00865,118.47,baja
2024-04-10,119.39,0.00117,118.78,alza
2024-04-11,118.63,-0.00637,118.76,baja
2024-04-12,119.84,0.0102,118.98,alza
2024-04-15,119.71,-0.00108,119.32,baja
2024-04-16,118.77,-0.00785,119.42,baja
2024-04-17,118.43,-0.00286,119.4,baja
2024-04-18,118.97,0.00456,119.35,alza
2024-04-19,118.35,-0.00521,119.16,baja
2024-04-22,117.42,-0.00786,118.88,baja
2024-04-23,117.75,0.00281,118.73,alza
2024-04-24,118.09,0.00289,118.6,alza
2024-04-25,117.54,-0.00466,118.49,baja
2024-04-26,117.03,-0.00434,118.21,baja
2024-04-29,117.35,0.00273,117.97,alza
2024-04-30,115.7,-0.01406,117.66,baja
2024-05-01,114.12,-0.01366,117.23,baja
2024-05-02,113.34,-0.00683,116.67,baja
2024-05-03,113.14,-0.00176,116.15,baja
2024-05-06,113.54,0.00354,115.76,alza
2024-05-07,115.26,0.01515,115.51,alza
2024-05-08,116.3,0.00902,115.33,alza
2024-05-09,116.16,-0.0012,115.19,baja
2024-05-10,116.18,0.00017,115.11,alza
2024-05-13,115.06,-0.00964,114.88,baja
2024-05-14,115.09,0.00026,114.82,alza
2024-05-15,114.8,-0.00252,114.89,baja
2024-05-16,115.22,0.00366,115.08,alza
2024-05-17,114.31,-0.0079,115.19,baja
2024-05-20,114.95,0.0056,115.33,alza
2024-05-21,116.76,0.01575,115.48,alza
2024-05-22,116.68,-0.00069,115.52,baja
2024-05-23,117.19,0.00437,115.62,alza
2024-05-24,118.05,0.00734,115.81,alza
2024-05-27,117.62,-0.00364,116.07,baja
2024-05-28,117.93,0.00264,116.35,alza
2024-05-29,118.0,0.00059,116.67,alza
2024-05-30,118.16,0.00136,116.96,alza
2024-05-31,117.29,-0.00736,117.26,baja
2024-06-03,117.37,0.00068,117.5,alza
2024-06-04,118.0,0.00537,117.63,alza
2024-06-05,119.76,0.01492,117.94,alza
2024-06-06,120.96,0.01002,118.31,alza
2024-06-07,123.61,0.02191,118.87,alza
2024-06-10,122.71,-0.00728,119.38,baja
2024-06-11,123.83,0.00913,119.97,alza
2024-06-12,124.1,0.00218,120.58,alza
2024-06-13,126.87,0.02232,121.45,alza
2024-06-14,125.9,-0.00765,122.31,baja
2024-06-17,124.89,-0.00802,123.06,baja
2024-06-18,124.19,-0.0056,123.68,baja
2024-06-19,121.6,-0.02086,123.87,baja
2024-06-20,121.01,-0.00485,123.87,baja
2024-06-21,120.14,-0.00719,123.52,baja
2024-06-24,120.37,0.00191,123.29,alza
2024-06-25,120.83,0.00382,122.99,alza
2024-06-26,123.15,0.0192,122.9,alza
2024-06-27,124.37,0.00991,122.65,alza
2024-06-28,123.7,-0.00539,122.42,baja
2024-07-01,122.64,-0.00857,122.2,baja
2024-07-02,123.29,0.0053,122.11,alza
2024-07-03,121.71,-0.01282,122.12,baja
2024-07-04,123.99,0.01873,122.42,alza
2024-07-05,125.5,0.01218,122.96,alza
2024-07-08,124.96,-0.0043,123.41,baja
2024-07-09,122.87,-0.01673,123.62,baja
2024-07-10,124.58,0.01392,123.76,alza
2024-07-11,124.49,-0.00072,123.77,baja
2024-07-12,126.08,0.01277,124.01,alza
2024-07-15,124.12,-0.01555,124.16,baja
2024-07-16,123.43,-0.00556,124.17,baja
2024-07-17,123.48,0.00041,124.35,alza
2024-07-18,123.59,0.00089,124.31,alza
2024-07-19,123.08,-0.00413,124.07,baja
2024-07-22,123.9,0.00666,123.96,alza
2024-07-23,122.63,-0.01025,123.94,baja
2024-07-24,122.5,-0.00106,123.73,baja
2024-07-25,122.7,0.00163,123.55,alza
2024-07-26,123.38,0.00554,123.28,alza
2024-07-29,124.3,0.00746,123.3,alza
2024-07-30,122.96,-0.01078,123.25,baja
2024-07-31,121.12,-0.01496,123.02,baja
2024-08-01,122.72,0.01321,122.93,alza
2024-08-02,123.17,0.00367,122.94,alza
2024-08-05,122.3,-0.00706,122.78,baja
2024-08-06,124.25,0.01594,122.94,alza
2024-08-07,124.44,0.00153,123.13,alza
2024-08-08,125.96,0.01221,123.46,alza
2024-08-09,126.09,0.00103,123.73,alza
2024-08-12,128.74,0.02102,124.18,alza
2024-08-13,131.05,0.01794,124.98,alza
2024-08-14,130.78,-0.00206,125.95,baja
2024-08-15,132.1,0.01009,126.89,alza
2024-08-16,133.01,0.00689,127.87,alza
2024-08-19,134.88,0.01406,129.13,alza
2024-08-20,133.63,-0.00927,130.07,baja
2024-08-21,134.6,0.00726,131.08,alza
2024-08-22,136.08,0.011,132.1,alza
2024-08-23,133.74,-0.0172,132.86,baja
2024-08-26,132.21,-0.01144,133.21,baja
2024-08-27,129.57,-0.01997,133.06,baja
2024-08-28,129.27,-0.00232,132.91,baja
2024-08-29,130.25,0.00758,132.72,alza
2024-08-30,132.26,0.01543,132.65,alza
2024-09-02,132.41,0.00113,132.4,alza
2024-09-03,134.62,0.01669,132.5,alza
2024-09-04,132.82,-0.01337,132.32,baja
2024-09-05,130.61,-0.01664,131.78,baja
2024-09-06,130.59,-0.00015,131.46,baja
2024-09-09,131.14,0.00421,131.35,alza
2024-09-10,131.15,8e-05,131.51,alza
2024-09-11,128.49,-0.02028,131.43,baja
2024-09-12,128.43,-0.00047,131.25,baja
2024-09-13,126.81,-0.01261,130.71,baja
2024-09-16,127.7,0.00702,130.24,alza
2024-09-17,128.22,0.00407,129.6,alza
2024-09-18,127.07,-0.00897,129.02,baja
2024-09-19,126.47,-0.00472,128.61,baja
2024-09-20,125.18,-0.0102,128.07,baja
2024-09-23,125.15,-0.00024,127.47,baja
2024-09-24,126.4,0.00999,126.99,alza
2024-09-25,125.2,-0.00949,126.66,baja
2024-09-26,125.88,0.00543,126.41,alza
2024-09-27,125.26,-0.00493,126.25,baja
2024-09-30,124.32,-0.0075,125.92,baja
2024-10-01,124.24,-0.00064,125.52,baja
2024-10-02,123.0,-0.00998,125.11,baja
2024-10-03,122.37,-0.00512,124.7,baja
2024-10-04,120.95,-0.0116,124.28,baja
2024-10-07,123.38,0.02009,124.1,alza
2024-10-08,123.47,0.00073,123.81,alza
2024-10-09,122.66,-0.00656,123.55,baja
2024-10-10,122.97,0.00253,123.26,alza
2024-10-11,122.88,-0.00073,123.02,baja
2024-10-14,122.66,-0.00179,122.86,baja
2024-10-15,123.46,0.00652,122.78,alza
2024-10-16,124.44,0.00794,122.92,alza
2024-10-17,123.83,-0.0049,123.07,baja
2024-10-18,123.17,-0.00533,123.29,baja
2024-10-21,122.88,-0.00235,123.24,baja
2024-10-22,120.1,-0.02262,122.9,baja
2024-10-23,118.33,-0.01474,122.47,baja
2024-10-24,119.99,0.01403,122.17,alza
2024-10-25,122.02,0.01692,122.09,alza
2024-10-28,121.76,-0.00213,122.0,baja
2024-10-29,122.51,0.00616,121.9,alza
2024-10-30,122.94,0.00351,121.75,alza
2024-10-31,126.78,0.03123,122.05,alza
2024-11-01,128.25,0.01159,122.56,alza
2024-11-04,128.13,-0.00094,123.08,baja
2024-11-05,126.96,-0.00913,123.77,baja
2024-11-06,124.97,-0.01567,124.43,baja
2024-11-07,125.28,0.00248,124.96,alza
2024-11-08,124.38,-0.00718,125.2,baja
2024-11-11,122.66,-0.01383,125.29,baja
2024-11-12,121.91,-0.00611,125.23,baja
2024-11-13,120.65,-0.01034,125.0,baja
2024-11-14,122.73,0.01724,124.59,alza
2024-11-15,123.86,0.00921,124.15,alza
2024-11-18,123.9,0.00032,123.73,alza
2024-11-19,125.78,0.01517,123.61,alza
2024-11-20,125.93,0.00119,123.71,alza
2024-11-21,124.9,-0.00818,123.67,baja
2024-11-22,126.85,0.01561,123.92,alza
2024-11-25,127.58,0.00575,124.41,alza
2024-11-26,126.31,-0.00995,124.85,baja
2024-11-27,126.12,-0.0015,125.4,baja
2024-11-28,125.07,-0.00833,125.63,baja
2024-11-29,123.39,-0.01343,125.58,baja
